ID,Description,Source,Root_Form,Root_Gloss,Root_Language,Comment,Justification,revised_by,Ideophonic,Dyen,proposedAsCognateTo_pk,proposedAsCognateToScale,parallelDerivation,Root_Form_calc,Root_Language_calc,supersetid
999,,"54[474{S.v. Lat. plūma 'feather'. Probably a deverbal noun in *-mo- from *pleu̯- 'swim| float' or *pleu̯-k- with a root extension.  Lat. plūma could go back to a derived form *pleu̯-mo-, *plou̯-mo- or *pl(e/o)u̯-smo-, or to pl(e/o)u̯k-smo-, if the connection with OPruss. plauxdine 'feather bed', Lith. plùnksna 'feather' is accepted.}];269[{Possibly from a *-k- extended form of the root *pleu̯- 'float, swim' (LIV² 487-488) → *pleu̯k- 'float, swim' (LIV² 488). The *-k- extended root is only securely found in Germanic and Baltic. Lat. plūma might be based on the *pleu̯k- root, but alternative derivations from unextended *pleu̯- are also possible, cf. Lith. plùnksma in [cognate set 2263](cog-2263).}];141[487-488{Cf. s.v. *pleu̯- 'schweben, schwimmen' (IEW 835-7) and *pleu̯k- 'schweben, schwimmen' (IEW 837).}];316[516{S.v. Lat. plūma 'plume qui recouvre le corps'. A popular term without an exact correspondence. The most attractive connection is with that of Lith. plùnksna 'plume', OPr. plauxdine 'lit de plume'| the connection with OHG fliogan 'voler' is to be discarded because of the sense. Other proposed connections are uncertain.}]",*pleu̯-,,Proto-Indo-European,,"Italic lexemes, generally considered derivatives from PIE *pleu̯-mo-, a derivative of PIE *pleu̯- 'to swim, float'. An alternative possible reconstruction is *pleu̯k-smo- and connected with the extended variant *pleu̯k- which is only otherwise attested in Germanic and Baltic, cf. [cognate set 2263](cog-2263) ([Ernout & Meillet 1985](src-316):516, [de Vaan 2008](src-54):474, cf. [LIV²](src-141) 487-488).",4,false,046-005,2263,1,false,,,247
1001,,"50[375{S.v. Proto-Celtic *tefnet- 'fire' derived from PIE *tep- 'be warm'. The Celtic form presupposes an original s-stem *tepnēs-.}];274[698-700{S.v. *tep- 'warm sein, heiß sein' (LIV 629f., IEW 1069f.).}];141[629-630{Cf. s.v. *tep- 'warm sein, heiß sein' (IEW 1069-70).}]",*tep-,,Proto-Indo-European,,"Celtic lexemes continuing derivatives of PIE *tep- 'to be warm, hot' ([NIL](src-274) 698-700, [Matasović 2009](src-50):375, cf. [LIV²](src-141) 629-630).",4,false,050-006,,0,false,,,290
1005,,"296[S:145-146{Cf. s.v. OIr. sná- 'couler (d'un liquide ou d'un cours d'eau)', going back to the IE root *snā- (cf. Skt. snā́ti 'il se baigne', Gk. νήχω 'je nage', etc.). The Brythonic forms are from the same root in a derived dental stem (cf. Lat. natō 'je nage', Bret. neijal, nijal 'voler').}];309[537-538{Cf. s.v. Bret. nij adj. qual. 'volant', corresponding to Corn. nyj, 'vol, nage, fait de flotter' and W naid 'bond, saut' from Brythonic *natia-, with many derivatives in Breton.}];141[572-573{Cf. s.v. *(s)neh₂- 'baden, schwimmen' (IEW 971-2).}]",*(s)neh₂-,,Proto-Indo-European,,"Brythonic lexemes continuing derivatives of PIE *(s)neh₂- 'to bathe, swim' ([Deshayes 2003](src-309):537-538, [Vendryes et al. 1959–1996](src-296) S:145-146, cf. [LIV²](src-141) 572-573).",4,false,056-009,,0,false,,,18
1007,,"50[387, 389{S.v. Proto-Celtic *treget- 'foot', cf. PIE *tregʰ- 'run, walk' (IEW 1089).}];275[{The root is controversial, Irslinger (2002, 60) with a discussion of previous research. *tregʰ- matching with the word for 'foot' is not reconstructed by LIV as a PIE root. Schumacher (2004, 635f.) argues on the basis of further Celtic material for the reconstruction of *treHgʰ-/treHg̑ʰ- or *tragʰ-/trag̑ʰ- 'to run away, to recede'. He argues that also Latin trahere 'to pull, to drag' originates from this root, a suggestion followed by de Vaan (2008, 626f.). Matasović (2009, 387, 389) rejects the idea that Proto-Celtic *treget- 'foot' belongs here. LIV² 154 groups Lat. trahere, showing an irregular anlaut development, with *dʰregʰ-/dʰreg̑ʰ- 'to pull, to drag'. Schrijver (1995, 136) argues that t- could have developed from *(s)d- with s-mobile, so that the word for 'foot' could originate from *dʰregʰ-/dʰreg̑ʰ-.  Apart from these problems connected to the PIE root, the Proto-Form of the Brittonic cognates is difficult to establish.}];54[646-647];305[136];299[60];304[635-636]",*treget-,,Proto-Celtic,,"An Indo-European root etymology outside of Celtic for Proto-Celtic *treget- 'foot' is controversial, cf. esp. [Irslinger 2002](src-299):60 for further discussion. Older hypotheses suppose a root *tregʰ- 'to walk' and a connection to Latin trahere 'to drag' (cf. [Matasović 2009](src-50):387, 389 following [IEW](src-49) 1089, [Schumacher 2004](src-304):635-636)",4,false,058-204;058-205;058-206,,0,false,,,
1010,,"304[278-282{S.v. Proto-Insular-Celtic *-dī- 'setzen' from PIE *dʰeh₁- (LIV² 136-138) > (+ pro > ro-) Middle Welsh roði 'geben'}];141[105-106{S.v. *deh₃- 'geben' (IEW 223-5). Cf. fn17 where it is stated Welsh rhoddaf 'I give' originates from the reduplicated present *dédoh₃/dh₃- of the root *deh₃- 'to give'. The neo-root *rod- was abstracted from *rodā ← *pro-dedō- with loss of reduplication in composition?}];308[473, 380{All Brittonic verbs are cognate, i.e. compounds *(p)ro-d- of *deh₃- 'to give'. In Welsh rhoi as well as in the Breton and Cornish verbs, *đ was lost. }];346[55, 345{As Pedersen 1913.}];309[629{Cf. s.v. Bret. ro 'don, vœu' from Old Breton rod 'don, présent' corresponding to Cornish ro, Welsh rhodd in the same sense.}];347[131-32{Detailed discussion of the hypothesis put forward in Schumacher 2004.}];240[138-139{S.v. Old Welsh v. pret. 3sg. rodesit 'to give'. ""Various etymological explanations of this verb have been offered have been offered, which consider its relationship with Sanskrit rā 'give' (Vendryes), or derive it from IE *dō- 'geben' (WG: 386, cf. VGK: II, 473).""}]",*-dī-,,Proto-Insular-Celtc,"Welsh rhoddi < *ro-dī-, cf. PIE *dʰeh₁- 'to place, to put', does not belong to the same cognate class as Middle Welsh roaf, roi, Middle Breton reiff and Middle Cornish ry. These verbs have lost an intervocalic -g- and belong to Old Irish rogaid*, ·rogai* (*rugaid, *·rugai 'to stretch out' DIL 510/R89, LEIA R-39). Etymology first mentioned by Thurneysen, Review of VGK II, IF (Anzeiger) 33 (1914), 33.","The Brythonic lexemes in this class are generally considered to be cognate but the ultimate PIE root etymology remains a matter of considerable debate. The two main hypotheses are to PIE *dʰeh₁- 'to put, place' ([Schumacher 2004](src-304):278-282) or to PIE *deh₃- 'to give' ([Pedersen 1913](src-308):473, [LIV²](src-141) 105-106), in either case combined with the preverb *pro- 'forth'. Cf. also [Falileyev 2000](src-240):138-139, [Geiriadur Prifysgol Cymru (GPC)](src-236) s.v. W rhoddaf, and [Deshayes 2003](src-309):629). The root reference form Proto-Insular-Celtic *-dī- follows ([Schumacher 2004](src-304):678.",4,false,063-203,405,2,false,,,
1011,,"50[259-60{S.v. Proto-Celtic *mati- 'good' from PIE *meh₂-t- (cf. Lat. mānis, mānus, Mātūta 'goddess Dawn').}];296[M:12-13{S.v. OIr. maith 'bon, excellent, avantageux'.}];151[181-182{S.v. 'good', etymology of OIr. positive degree maith < Proto-Goidelic *mati-, from Proto-Celtic *mati- < PIE *mh₂-ti- to the root *meh₂- 'gut, zu guter Zeit, rechtzeitig' ({ref IEW 693 mā-), cf. Lat. māturus 'rechtzeitig, zeitig, reif', Osc. maatúís < Mātīs = 'Dī Mānēs', probably also Hitt. mēḫur 'rechte Zeit' < PIE *meh₂u̯r̥ ([Eichner 1973](src-641)).}]",*meh₂-,,Proto-Indo-European,,"Celtic lexemes continuing Proto-Celtic *mati- 'good', a derivative of PIE *meh₂- 'good; at the right time' ([Lucht 2007](src-151):181-182, [Matasović 2009](src-50):259-260, cf. [Vendryes et al. 1959–1996](src-296) M:12-13).",4,false,064-006,,0,false,,,
1013,,"309[115{S.v. Bret. blew 'chevelure, cheveux, poils, robe (d'animal), from Old Breton bleu and corresponding to Cornish blew (Old Cornish bleu) and to Welsh blew, further from Proto-Celtic *blou̯i-, without nay further cognates (cf. Henry, Lexique étymologique du breton moderne, Rennes 1900).}];301[85{S. Lane, Language (7, 1931.4, 279) (review Revue Celtique 7, 279) rejects Henry's reconstruction *blou̯i-. According to him, bleo originates from *bleu̯s < *mleu̯s from the root *mel contained in Greek μαλλός 'hair, mane', Lith. mìlas 'cloth (of wool)', cf. WP 2.294.  }];275[{Lane suggests an u-stem with suffixal full grade nsg. *ml-eu̯-s,  cf. IEW 721 with μαλλός 'flock of wool' < *ml̥-nó-, cognate class H? According to Frisk, GEW II 168, the Greek word is unexplained.}];240[16{S.v. OW bleuporthetic 'wool bearing'. Hapax in Welsh, A compound whose first element bleu was linked by G. Lane Language 7 (1931), 279 to PIE *mel- 'Wolle' ([IEW](src-49) 721)| the second element is porthedig, a loan from Latin portāre.}];49[721{S.v. 7. mel- 'Wolle, Wollgewand'? : Gk. μαλλός (*ml̥-nó-) 'Zotte, Flocke', Lith. mìlas 'Tuch', Latv. mil(n)a 'großes Tuch', OPr. milan 'id.'. [Without Celtic cognates].}];236[{Cf. s.v. W. blew 'hair, hairs, bristles, fur', cf. Old Cornish bleu (en lagat), gl. palpebre, bleuyn (pen), gl. capillus, Middle Cornish blewennow (diminutive fem. pl.), Late Cornish bleaw, Old Breton bleuou, gl. iubis, Middle Breton bleau, Late Breton blew| cf. also Old Welsh blewborthedig. [No etymology outside of Brythonic].}];765[279{2. Welsh blew, Breton bleo: ""The common Brythonic word for 'hair', Welsh blew, Bret. bleo, has never received a satisfactory explanation. Henry (Lexique étymologique 37) hazards a comparison with Grk. φλοιός 'bark, peeling' (IE *bhleu- 'swell', cf. further on this group Walde-Pokorny 2. 212f.). The attempt made by Morris-Jones (Welsh Gramm. 157) to link the Celtic words to Lith. plùskos 'hair', NE fleece, etc. (IE *pleus-) is of course to be discarded so long as nothing is established regarding the alternation of initial sonant and surd in Indo-European. Moreover the correct Celtic cognate for the latter group is OIr. lō 'flock of wool' (cf. Walde-Pokorny 2. 96f.). The possibility of deriving Celtic *bleus² from *mleus, an extended form of IE *mel- in Grk. μαλλός 'bunch of hair, wool', Lith. milas 'cloth (of wool)', etc. (cf. id. 2. 294) has been overlooked as far as I can discover The change ml > bl is common enough in Celtic, cf. e.g. Welsh blith 'milk' : OIr. mlicht, blicht, Goth. miluks, etc.""}]",*blou̯i-,,Proto-Celtic,,"Brythonic lexemes as though from Proto-Celtic *blou̯i- 'hair, wool'. Further etymology uncertain: [Lane 1931](src-765):279 attempted to derive from a preform *ml̥-eu̯-s comparable to Ancient Greek μαλλός 'flock of wool' (< *ml̥-nó-), but this conjecture has not been widely accepted (cf. [Deshayes 2003](src-309):115, [Geiriadur Prifysgol Cymru (GPC)](src-236), [Falileyev 2000](src-240):16, [Fleuriot 1964a](src-301):85, [IEW](src-49) 721 [without Brythonic forms given as cognates]). The proposed comparandum in Ancient Greek μαλλός, moreover, is generally considered without satisfactory etymology ([Chantraine 1968–1980](src-270):663, [Beekes 2010](src-66):899; cf. [cognate set 1492](cog-1492)). [Not in [Matasović 2009](src-50)].",4,false,068-208,,0,false,,,
1014,,"50[108-109{S.v. Proto-Celtic *durno- 'fist', probably a loan from an non-IE language.}];309[196{S.v. Bret. dorn 'main, poing, poignée', from Old Breton durn and equivalent to Co. dorn, W dwrn in the same sense, Ir. dorn 'poing' and Scots Gaelic dòrn, from Proto-Celtic *dur-no-.}];296[D:177-178{S.v. OIr. dorn 'main, poing', corresponding to W dwrn, Bret. dourn, dorn 'poing, main', etc. Root etymology uncertain. Either *der- or *dher- is possible (cf. Hamp ZCP XLI 253).}]",*durno-,,Proto-Celtic,,"Etymology outside of Celtic uncertain ([Vendryes et al. 1959–1996](src-296) D:177-178, [Matasović 2009](src-50):108-109).",4,false,069-006,,0,false,,,
1015,,"50[177{S.v. Proto-Celtic *kʷenno- 'head'. The ablaut attested in cognate vocabulary within Celtic suggest that the lexeme is inherited rather than borrowed from a substratum, but no successful identification with a known PIE root or cognate vocabulary outside of Celtic has yet been made.}];296[C:65-66{S.v. cenn 'tête, sommet, extrémité, fin, chef', from Proto-Celtic *kʷenno-, with no known cognates outside of Celtic.}]",*kʷenno-,,Proto-Celtic,,"No known etymology outside of Celtic ([Vendryes et al. 1959–1996](src-296) C:65-66, [Matasović 2009](src-50):177).",4,false,071-004,,0,false,,,
1016,,"309[361{S.v. Bret. kalon 'cœur, âme (de cordage)', from Old Breton calonn and corresponding to Co. colon and Welsh calon, from Proto-Celtic *kal-ona-.}];348[50-51{S.v. Bret. kalon, kaloun 'cœur' (Co. colon, W calon 'id.') Proto-Celtic *kal-onā may be cognate to 1) Latin calidus 'warm, hot' or to 2) Latin callidus 'experienced' (the heart was conceived as the organ of intelligence).}];275[{PIE roots of the proposed Latin cognates: 1) *k̑elh₁- 'to be hot' (cf. *k̑el- 'to become hot' LIV² 323) and 2) *kHl-, also in Br. kalet 'hart', cf. De Vaan 2008, s.vv.}];236[{No etymology outside of Brythonic given s.v. W calon.}]",*kalona-,,Proto-Celtic,,"Brythonic forms from Proto-Celtic *kalona- ([Deshayes 2003](src-309):361). No certain etymology outside of Celtic. Not in [Matasović 2009](src-50); no etymology given in [Geiriadur Prifysgol Cymru (GPC)](src-236), cf. [Henry 1900](src-348):50-51 for various older proposals.",4,false,073-005,,0,false,,,420
1017,,"309[596{S.v. Bret. pounner 'lourd| exagéré, grave', a borrowing from Latin ponderis 'of weight'.}]",ponnher,,Middle Breton,,Loan from Lat. ponderis 'of weight' ([Deshayes 2003](src-309):596).,4,false,074-010,,0,false,,,
1019,,"309[666{S.v. Bret. sko s.m. 'frappe, heurt| échouage'| denominal verb skoiñ (squeiff, 1499). The noun continues Old Breton sco 'coup', but the further etymology remains obscure.}];301[303{The attested form si-scuint is 3pl. pres. subj. with the intensifying prefix si-. It is based on a stem sco-* oder scu-*. Cf. the cognate noun Old Breton sco 'blow, stroke'. From *sk̑eu̯- 'to hit, to throw, to shoot' (IEW 953f.) or *skeu̯d- 'to throw, to shoot' (IEW 954f. = *skeu̯d- 'to drive, to push' LIV² 560)?}]",sco,,Old Breton,,"Denominal formation from Old Breton sco 'strike, blow', further etymology obscure ([Deshayes 2003](src-309):666).",4,false,076-005,,0,false,,,
1021,,"309[669{S.v. Bret. skorn 'glace', a word of obscure origin. First attested in the Catholicon (1499).}];235[681{Favereau cites Cornish scorn and Old French sorne (Ernault). Cf. scorne 'scoria, vitrified/petrified mass found in the melting vessel originating from metallurgic processes'. How likely is it that a borrowed technical term like this becomes the Swadesh term for 'ice'? }]",scorn,,Middle Breton,,"Breton lexemes, first attested in Middle Breton, but further origins obscure ([Deshayes 2003](src-309):669).",4,false,083-004,,0,false,,,
1023,,"50[345{S.v. Proto-Celtic *slad-yo- 'to hit, to slay'. No convincing IE etymology.}];304[583-587{S.v. Proto-Celtic *slad-i̯e/o- 'to strike, to kill', PIE *sleHd- or *sleHdʰ-. Schumacher follows [Schrijver 1995](src-305):178 who reconstructs this root, neither contained in IEW nor in LIV².}];305[178]",*sladi̯o-,,Proto-Celtic,,"Lexemes from Proto-Celtic *slad-i̯o- 'to hit; to slay'. Further etymology uncertain ([Matasović 2009](src-50):345), cf. [Schumacher 2004](src-304):583-587 setting up either PIE *sleHd- or *sleHdʰ- following [Schrijver 1995](src-305):178. [Not in [LIV²](src-141)].",4,false,086-002,,0,false,,,419
1024,,"50[361{S.v. Proto-Celtic *swar-yo- 'laugh', from PIE *su̯er- 'sound, make a sound' (IEW 1049f.), cf. Skt. svárati, ON sverja 'swear', perh. Lat. susurrus 'whisper'. ""The attribution of these Celtic forms to the PIE root *swer- is semantically difficult, but possible (see KPV 609).""}];309[162{S.v. Bret. c'hoarz 'rire' corresponding to Co. warth, W chwardd, going back to Proto-Celtic *su̯er-d-o-.}];141[613{Cf. s.v. 1. *su̯er- 'tönen' (IEW 1049-50). [Without Celtic].}];240[64{S.v. OW guardam 'to laugh' (MW chward-) from IE *su̯ard- 'lachen'.}];304[608-609{S.v. Proto-Celtic *su̯ar-i̯e/o- 'lachen', from PIE *su̯er- (LIV² 613, *su̯ard- IEW 1040, *su̯er- IEW 1049f.).}]",*su̯er-,,Proto-Indo-European,,"Lexemes continuing Proto-Celtic *su̯ar-i̯e/o- 'to laugh', a derivative of PIE 1. *su̯er- 'to sound' ([Schumacher 2004](src-304):608-609, [Matasović 2009](src-50):361, cf. [Falileyev 2000](src-240):64, [Deshayes 2003](src-309):162, [LIV²](src-141) 613).",4,false,090-002,,0,false,,,
1025,,"50[102-103{S.v. Proto-Celtic *dol-V- 'leaf', from PIE *delh₁- 'blossom' (cf. OE dile 'dill', Arm. dalar 'green'). There are different stems formations in Irish, Brittonic and Gaulish: OIr. duille should be derived from *dolnya, while the Brittonic forms are from *dolya, and Gaulish seems to have a reflex of *dola.}];274[83-85{Cf. s.v. *dalh₁- 'herausquellen, hervorsprießen' (LIV 132, IEW 234). Brittonic Middle Welsh deil etc. and Latin folium < *dʰolh₁-(i)yo- (with question mark. Alternative etymology possible).}];141[132{Cf. s.v. *dʰalh₁- 'herausquellen, hervorsprießen' (IEW 234).}];296[D:216-217{S.v. OIr. duille 'feuille, feulliage', to Gk.  θάλος, θαλλός, Arm. dalar 'vert, frais', Alb. dal 'je pousse' from *dhal-/*dhel-. The connection with Lat. folium is uncertain since Lat. folium could reflect either *dholio-, as in Celtic, or *bhol-io- as in Gk. φύλλον.}]",*dʰalh₁-,,Proto-Indo-European,,"Celtic lexemes continuing derivatives of PIE *dʰalh₁- 'to spring up, sprout' ([NIL](src-274) 83-85, [Vendryes et al. 1959–1996](src-296) D:216-217, [Matasović 2009](src-50):102-103, cf. [LIV²](src-141) 132). It is possible, but uncertain that Latin folium and the Romance lexemes continuing it belong here, cf. further discussion in [cognate set 8247](cog-8247).",4,false,091-203,,0,false,,,70
1026,,"50[207{S.v. Proto-Celtic *klēyo- 'left', from PIE *k̑lei̯- (cf. Lat. clīuius 'inauspicious, ominous', Goth. hleiduma 'left', Lith. šleĩvas 'bow-legged').}];141[332-333{Cf. s.v. *k̑lei̯- 'sich anlehnen' (IEW 601-2).}];179[187{S.v. Goth. H78. hleiduma 'ἀριστερός, εὐώνυμος', 'left', from PIE *k̑lei̯- 'lean' (cf. Gk. κλίτος 'hill'| OIr. clé OWel cledd < *k̑li-i̯os 'left').}];296[C:114-115{S.v. OIr. clé 'gauche' from *kleiyo- or *kliyo- (cf. Goth. hleiduma 'gauche', Lat. clīuis 'de mauvais augure'), derived from PIE *k̑lei̯- 'incliner, pencher'.}]",*k̑lei̯-,,Proto-Indo-European,,"Lexemes from Proto-Celtic *klēyo- 'left', further derived from PIE *k̑lei̯- 'to lean' ([Vendryes et al. 1959–1996](src-296) C:114-115, [Matasović 2009](src-50):207, cf. [LIV²](src-141) 332-333).",4,false,092-005,,0,false,,,189
1027,,"50[152{S.v. Proto-Celtic *garrV- 'calf of the leg, shank'. There is no good Indo-European etymology. Matasović suggests that it may be possible to derive these forms from the PIE word for 'hand' (PIE *g̑ʰesr > Hitt. kissar, Gr. χείρ) and gives two possible developments that would yield the Celtic forms regularly. The semantic development was then 'hand, arm' > 'limb' > '(calf of the) leg'.}];309[266{S.v. Bret. gar 'jambe' corresponding to Co. gar, W gar, Gaul. *garra-, all from Proto-Celtic *garri- 'jarret'. Old French gare 'jambe, cuisse' is a borrowing from Gaulish.}]",*garrV-,,Proto-Celtic,,"No clear etymology outside of Celtic ([Matasović 2009](src-50):152, cf. [Deshayes 2003](src-309):266).",4,false,093-010,,0,false,,,
1029,,"50[49{S.v. Proto-Celtic *awV- (?) 'liver'. The Proto-Celtic reconstruction is very uncertain, therefore an IE etymology based on it is even more speculative.}];296[O:2{S.v. OIr. óa 'foie'. The Celtic languages have replaced the inherited IE word for 'liver' with a new word of unknown etymology and whose proto-form is impossible to reconstruct.}]",?*au̯V-,,Proto-Celtic,,"Proto-Celtic reconstruction uncertain; no etymology outside of Celtic (cf. [Vendryes et al. 1959–1996](src-296) O:2, [Matasović 2009](src-50):49).",4,false,096-003,,0,false,,,
1030,,"50[337{S.v. Proto-Celtic *sīro- 'long' < *seh₁-ro- 'long lasting' (IEW 891), cf. Skt. sāyá- 'evening', Lat. sērus 'late', Goth. seiþu 'evening'.}];296[S:115-116{S.v. OIr. sír 'long, durable', from Proto-Celtic *sīro-, corresponding exactly to Lat. sērus 'tardif'.}]",*seh₁-,,Proto-Indo-European,,"Celtic lexemes from Proto-Celtic *sīro- 'long' < PIE *seh₁-ro- 'long lasting (cf. [Vendryes et al. 1959–1996](src-296) S:115-116, [Matasović 2009](src-50):337).",4,false,097-004,,0,false,,,256
1032,,"50[204{S.v. Proto-Celtic *kīkā 'breast'. According to DIL there is some evidence that OIr. cích was a neuter s-stem, so perhaps *kīkos- might be a better reconstruction. Matasović assumes that the meaning of MIr. cích 'beast' as primary and that the word is a popular expressive word often used for female body parts.}];296[C:95-96{S.v. OIr. cích (rarely) 'téton, sein'. LEIA assumes that the meaning 'meat' is the original one because of the compound adjective mir. ciccar 'voracious' (LU 2148) < *cig-car 'meat-loving'. Cites an uncertain connection with Greek κῖκυς 'force' by [Pedersen 1909](src-307):51.}]",*kīkā-,,Proto-Celtic,,"Possibly otherwise to be reconstructed as an s-stem neuter *kīkos-; further etymology outside of Celtic uncertain ([Vendryes et al. 1959–1996](src-296) C:95-96). [Matasović 2009](src-50):204 considers the words of expressive origin with an original semantic development from '(female) breast' > 'meat', although [Vendryes et al. 1959–1996](src-296) considers the semantics to have developed in the opposite direction on the basis of compounds in Middle Irish.",4,false,101-003,,0,false,,,
1034,,"50[158{S.v. Proto-Celtic *genu- 'jaw' from PIE *g̑enu- 'jaw' (IEW 381), cf. Skt. hánu-, Gk. γένυς, Lat. gena 'cheek', OEng. cinn, TochA śanweṃ (du.) 'jaws'. The singular of this word is reflected in OIr. gin u m. 'mouth' and in the Brittonic words for 'cheek', MW gen f.'cheek', OBret. gen gl. maxilla, MBret. guen, MoBret. gen f. 'cheek'. The Brittonic words for 'mouth' is based on the plural Proto-Celtic *genou̯es.}];151[280{S.v. OIr. gin 'a mouth', doubtless to PIE *g̑enu- 'Kinn, Kinnbacke' (cf. Ved. hánu- 'Kinnbacke', Av. zanu- 'id.', Gk. γένυς, -υος 'Kinn, Kinnbacke', Lat. gena 'Wange, genīnus dens 'Backenzahn', Goth. kinnus 'Wange', TochA śanwe-m (du.f.) 'Kinnbacken').}]",*g̑enu-,,Proto-Indo-European,,"Celtic lexemes derived from PIE *g̑enu- 'jaw' ([Lucht 2007](src-151):280, [Matasović 2009](src-50):158). NB: traditionally considered a separate lexical root from PIE *g̑enu-, *g̑neu- 'knee', cf. [IEW](src-49) 380-382.",4,false,105-204;105-205,,0,false,,,
1035,,"309[732{S.v. Bret. tost (adj. qual.) 'avare| serré, sévère| minutieux' and adv. 'presque' and prep. 'près de', corresponding to W tost 'sévère, dur, véhément, furieux| douloureux' borrowed from Lat. tostus 'grilled, burned'.}]",[tostus],,Brythonic,,"A loanword into Brythonic from Latin tostus 'grilled, burned', cf. Welsh tost 'severe, harsh, hard' ([Deshayes 2003](src-309):732).",4,false,108-010,,0,false,,,
1036,,"309[288{S.v. Bret. gouzoug 'cou, col, gorge, goulot', from Old Breton guodoc and corresponding to Co. *ghuduk and W gwddwg from Proto-Celtic *u̯udok-.}];236[{S.v. W gwddf, gwddw, gwddwg 'neck, crag, throat', from Celtic *u̯udu̯o-}];305[52n1{""Pedersen's connection of W gwddw(g), B gouzoug 'neck, throat' with Goth. gatwo 'street, path' ([Pedersen 1909](src-307): 63) is highly uncertain.""}]",?*u̯ud(u̯)o(k)-,,Proto-Celtic,,"A Brythonic word without certain external correspondences (cf. [Schrijver 1995](src-305):52n1 against an earlier proposal of [Pedersen 1909](src-307):63 to connect to Gothic gatwo 'street'). The reconstruction of a common proto-form is difficult, cf. [Geiriadur Prifysgol Cymru (GPC)](src-236) and [Deshayes 2003](src-309):288 for attempts at a Proto-Celtic reconstruction.",4,false,109-004,,0,false,,,
1037,,"50[352-53{S.v. Proto-Celtic *srognā 'nose', from PIE *sregʰ- 'snore' (IEW 1002), cf. Gk. ῥέγχω 'snore', Arm. ṙngun-kʻ 'nose'.}];296[S:187-188{S.v. OIr. srón 'narine, nez'}];151[295-296{S.v. OIr. srón 'a nostril', in dual 'nose'. Connections outside of Celtic are uncertain, various proposals have been made to (a) Skt. sr̥kván-, srákva- 'Mundwickel', (b) Gk. ῥίς, ῥινός, (c) Gk. ῥέγκω, ῥέγχω 'schnarche' < *srenk- (IEW), (d) Arm. ṙngun-kʻ < *srongh-on-.}]",*srognā,,Proto-Celtic,,"Etymology outside of Celtic uncertain; cf. [Vendryes et al. 1959–1996](src-296) S:187-188, [Lucht 2007](src-151):295-296 for a survey of various proposals. The Proto-Celtic root reference form given for this cognate set provisionally follows [Matasović 2009](src-50):352-353.",4,false,112-010,,0,false,,,
1038,,"50[218-219{S.v. Proto-Celtic *kotto- 'old'. ""According to Sims-Williams (2006: 67) Cat. cot 'hill', Sp. cueto are from the Gaulish reflex of this word. The semantic development was presumably from 'old' to 'curved, humpbacked hillock'. In any case, these words are probably of non-IE origin.""}];643[67-69];309[425{S.v. Bret. kozh (adj.) 'vieux, ancien' from Old Breton coth and corresponding to Co. coth 'vieux, ancien, âgé', W coth, and Gaul. cottos 'vieux'.}];157[127{Cf. s.v. Gaul. cottos 'vieux', connected with Bret. coz and OCo. coth 'vieux', a substrate word?}]",*kotto-,,Proto-Celtic,,"Lexemes continuing Proto-Celtic *kotto- 'old', possibly an old substratum borrowing from a non-IE language (cf. [Deshayes 2003](src-309):425, [Delamarre 2003](src-157):127, [Sims-Williams 2006](src-643):67-69, [Matasović 2009](src-50):218-219).",4,false,114-007,,0,false,,,
1040,,"309[161{Cf. Old Breton guari, huari, Middle Breton hoari, Modern Breton c'hoari m. 'game' from Proto-Celtic *su̯er-o-.}];50[311-312{S.v. Proto-Celtic *rig-o- 'to bind', cf. *(H)rei̯g- 'to bind, to reach' (IEW 861, LIV 503), cf. Lat. rigeō 'be stiff', MHG ricken 'bind', OHG reihhen 'reach', Lith. réižti 'to stretch, tighten'. OIr. con-rig 'binds together' < *kom-rig-o-, MW gwarny 'play' (GPC gwarny, gwary), MBret. hoari 'play' < MW gwarny and MBret. hoari < *ufo-rig-o-.}];304[546-548{S.v. Proto-Celtic 2. *rig-e/o- 'binden' < PIE *rei̯g- or *rei̯g̑- (LIV² 503). The Brythonic forms (W gwarwy, etc.) are compounds with the preverb *u̯o-.}];141[503{Cf. s.v. *rei̯⁽g̑⁾- 'binden' (IEW 861-2).}];240[64{S.v. Old Welsh guarai 'play, amusement, theatre'. No etymology, possibly *worigo-, cf. Ir. fuirech < *fo-rig.}]",*rei̯⁽g̑⁾-,,Proto-Indo-European,,"From PIE *rei̯⁽g̑⁾- 'bind' via Proto-Celtic *rig-e/o- ([Schumacher 2004](src-304):546-548, [Matasović 2009](src-50):311-312, [Schumacher 2004](src-304):546-548, cf. [LIV²](src-141) 503), but cf. [Deshayes 2003](src-309):161, [Falileyev 2000](src-240):64.",4,false,118-004,,0,false,,,
1041,,"309[719{A Common Brittonic (and Irish) borrowing von Latin tendere 'to stretch, to direct'.}];296[T-49{Cites literature for both assumptions.}];301[314 s.v. tinsit{An inherited word based on PIE *ten- 'to stretch, to span' may have mixed up with a Latin borrowing. }]",[tendere],,Brythonic,"Controversial, explained either as loanwords from Latin tendere or as inherited verbs, based on PIE *ten- 'to span, to stretch' (LIV 626). Perhaps related to [cognate set 2837](cog-2837), see citations in class for further references.",,,false,119-010,,0,false,,,
