id,pages,reliability,comment,cognate_class_id,source_id,rfcWeblink
759,612,A,"S.v. Lat. tendō, -ere 'to extend, stretch', from Proto-Italic *tend-, in turn from PIE *ten-d⁽ʰ⁾-, a dental extended form of PIE *ten- 'to stretch'.",2296,54,
760,91,A,"S.v. Proto-Slavic *čuti 'sense, feel, notice'. No cognates outside of Slavic given.",4958,81,
761,554,A,"S.v. Lat. sentiō, -īre 'to sense, feel', from Proto-Italic *s(e)nt-ii̯e/o- / *s(e)nt-(e)i, PIE *sent- 'to perceive' (LIV² 533, fn. 1).",8244,54,
762,61,A,"S.v. Lat. audiō, -īre 'to hear', from Proto-Italic Pit. *au̯izdi̯e/o- 'to hear', probably based on a compound of PIE *h₂eu-is 'clearly' (cf. Hitt. au-/u- 'to see, look' < *h₂ou-, CLuw. au̯a (interj.) 'look!', Skt. āviṣ 'evidently', Av. āuuiš < IIr. Hāu̯iš, Gk. ἀΐω 'to perceive, hear', αἰσθάνομαι 'to perceive' < *h₂(e)u̯i-s-(dʰ)- '(to make) manifest', Lith. ovyje 'in reality', OCS (j)avě 'manifestly' < *h₂ēu-ēis [or loanword from Iranian?]) + *dʰh₁-ie/o- 'to render'.",890,54,
763,103,A,"S.v. Proto-Germanic *drinkan 'to drink'. The Germanic verb contains a nasalized variant of the root *dʰreg- as found in Baltic, cf. Lith. *drė́gti 'to become moist'.",204,165,
764,226-27,A,"Cf. s.v. Lith. drė́gti 'to become moist, to thaw', to be interpreted as a denominal verb, the basis of which is not found in Lithuanian, but in Latvian drē̡gs m. 'thawing, muddy weather'. The latter seems to originate from a Vṛiddhi-derivation of pre-Proto-Balto-Slavic *dʰréh₁gʰo-, cf. PIE *dʰroh₁gʰ-/*dʰr̥h₁gʰ- 'deposit, yeast'.",204,352,
766,225-6,A,S.v. *Hi̯eu̯dʰ- 'in Bewegung geraten (ohne Ortsveränderung)' (IEW 511-2).,2632,141,
767,72-73,A,S.v. *bʰei̯h₂- 'in Furcht geraten' (IEW 161-2).,699,141,
770,662,A,"S.v. Lat. vēnor, -āri 'to hunt', from a Proto-Italic denominal verb *u̯ēnā-i̯e/o- 'to hunt', based on an adjective *u̯ēn-o/ā- 'searching, hunting' or on a noun *u̯ēnā- 'hunt', cf. PIE *(H)uenh₁- 'desire'.",2722,54,
771,682-683,A,S.v. *u̯enH- 'liebgewinnen' (IEW 1146-7).,2722,141,
772,690,A,"S.v. *u̯erp- 'hin- und herdrehen(?)' (IEW 1156).  The connection of Greek ῥάπτω with root *u̯erp- (Lith. verpiù, 'spinnen, stochern', Hitt. warapzi 'waschen, baden; reiben') is questioned because the identification is semantically and formally unclear, and the initial cluster could reflect original *sr̥- just as well as *u̯r̥-, see fn3.",1533,141,
773,487-488,A,"S.v. *pleu̯-º 'schwimmen, schweben' (IEW 835-7).  See under 'Neubildungen (Nasalpräs.)' and footnote 8.",662,141,
774,1035-1036,A,"Anatolian languages show stem allomorphy *tī-/*tu-, suggesting a morphologically suppletive stems *ti-h₂ (Nom.) vs. *tu- (oblique) in Proto-Indo-European, which subsequently underwent paradigmatic levelling to *tu- (all cases) in PIE post-separation of Proto-Anatolian.",145,80,
775,410-413,A,"From Proto-Celtic *klad-o- 'dig, bury', cf. PIE *kelh₂- 'hit, break' (LIV² 350, IEW 546f.) with a d-extension. ",986,304,
776,,A,"Proto-Celtic *kla-d- from a collocation / light-verb-construction *kl̥h₂-dʰh₁-o-, i.e. *kelh₂- + *dʰeh₁- 'to make a stroke/stab' > 'to dig'?",986,275,
777,C:111-112,A,"S.v. OIr. claidid 'il creuse' cf. in Brythonic in W claddu 'creuser, enterrer', Bret. vann. klaouein 'id.', the root is *klad-, cf. clad 'fossé', 1 clas 'id.', claideb 'épée'; with preverb ad- 'chasser', properly 'prendre à la trappe'.",5122,296,
778,206,A,"S.v. Proto-Celtic *klad-o- 'dig, bury', cf. PIE *kelh₂- 'hit, break' (LIV² 350, IEW 546f.).",5122,50,
779,410-413,A,"From Proto-Celtic *klad-o- 'dig, bury', cf. PIE *kelh₂- 'hit, break' (LIV² 350, IEW 546f.) with a d-extension. ",5122,304,
780,,A,"Proto-Celtic *kla-d- from a collocation / light-verb-construction *kl̥h₂-dʰh₁-o-, i.e. *kelh₂- + *dʰeh₁- 'to make a stroke/stab' > 'to dig'? ",5122,275,
781,286,A,"S.v. Proto-Slavic *loviti '(try to) catch' (ESSJa XVI 106-108). Cf. Proto-Slavic *lovъ 'hunt, hunting' and *lovъkъ 'adroit, dextrous' (ESSJa 111-113), cf. Lith. lavùs 'adroit, dexterous, clever'. There are no cognates outside of Balto-Slavic; even then one might wonder whether Lith. lavùs is be a borrowing.",1145,81,
782,177,A,"Cf. s.v. Proto-Slavic *goniti ‘chase, persecute’ (ESSJa VII 23), from PIE *gʷʰon- (cf. Gk. θείνω 'kill', Skt. hánti 'strike, slay').",1298,81,
783,625-627,A,"Cf. s.v. OLith. mẽdis 'Baum, Holz; Wald'. Lith. medžióti is a denominal verb based words for wood, cf. Lith. mẽdis m. 'wood, tree; forest', mẽdžias m. 'tree', Old Prussian median 'wood, forest', Latv. mežs 'wood, grove'. Fraenkel Lingua Posnaniensis 4 (1953, 85-108) assumes a Proto-Baltic neuter 'forest' (Old Prussian median 'wood, forest', Latv. mežs 'wood, grove', Lith. mẽdžias 'tree'), from which in East Baltic a masculine singulative Lith. mẽdis was derived. Both words got mixed up in Lithuanian due to ambiguous forms in the oblique cases. The meaning of the Proto-Baltic neuter 'forest' must have developed from 'boundary ridge, border, frontier', as the latter meanings are found in Slavic cognates like OCSl. mežda f. 'street', Russ. mežá f.'boundary ridge, border, frontier', Čech. mez f. 'lynchet, unploughed strip', meze f. 'border' etc. From PIE *médʰi̯o- adj. 'middle, located in the middle'.",1860,352,
784,271-272,A,"S.v. Proto-Germanic *jakk/gōn- 'to rush, chase'. No certain etymology. Perhaps to the root *Hig̑ʰ- found in Greek and Indo-Iranian (cf. Gk. ἰχανάνω 'to desire', Skt. sam-ī́hate 'to strive/desire', OAv. iziiā 'I wish').",243,165,
786,235-36,A,Proposes a cognacy with Hitt. ekt- c. '(hunting) net (?)' from PIE *i̯ek-t-. [Not in LIV².],243,80,
787,"227, 257",A,S.v. Proto-Germanic *hinϸan- 'to reach for' < *⁽k̑⁾ént-e- and Proto-Germanic *huntōn- 'to chase' from *⁽k̑⁾nt-néh₂-.,1349,165,
790,408,B,"Cf. s.v. Proto-Celtic *u̯ēd-u- 'wild', cf. OIr. fiad (m, u) 'wild animals, game', fiad 'uncultivated land' and fiadach 'hunt', Ogam VEDA-CUNAS, MW gwydd, OBret. guoid-och gl. aper, MBret. goez, MoBret. gouez, OCo. guit-fil gl. fera. From PIE *u̯ei̯dʰ- 'wood, wilderness' (IEW 1177). These words are probably from the same PIE root as PCelt. *u̯idu- 'wood' (Lat. siluaticus > Fr. sauvage 'wild', from silua 'wood', also means 'wild').",5123,50,
791,420,A,"S.v. Proto-Celtic *widu- 'wood', from PIE *u̯idʰu- 'wood' (IEW 1117) (cf. OE widu, wudu, Lith. vidùs 'interior').",3129,50,
792,,A,"The Brittonic singular guið 'wood' was reinterpreted as a plural 'trees', from which a singulative 'tree' is derived. (Singular: Proto-Brittonic *u̯id-u-s > *guid, plural: *u̯id-ou̯-es (if proterokinetic) > *guidou).",1074,275,
793,C-153,A,"Borrowed from Latin cortex, -icis.",1685,296,
794,I:684,A,"S.v. Ved. tvác- 'Haut, Fell; die Haut des lebenden Menschen oder Tieres, in Kontrast zu cárman-' (Pā. taca-, tacas- 'Haut, Rinde'). Probably to be connected with Hitt. tu̯ekka- 'Körper, Person'.",2526,172,
795,886,A,"The Hitt. and the Vedic words originate from a PIE root noun nom.sg. *tu̯ék (without -s), acc.sg. tu̯ék-m, gen.sg. *tuk-ós. The underlying root *tu̯ek- 'physical appearance?' is also attested in Hitt. tukk-āri ‘to be visible’.
",2526,80,
798,1307,A,"S.v. OLith. žievė̃ 'Rinde, Baumrinde' (BSl. cf. Latv. zievis 'Baumrinde'). Etymologically isolated. The traditional connection with Lith. žydė́ti 'blühen' is not semantically convincing. No reliable comparisons outside of Baltic.",1887,352,
800,53,A,"S.v. Proto-Germanic *barku- 'bark', cf. PIE *bʰorh₁g̑-. Cognate with Alb. barmë f. 'bast' < *bʰorh₁g̑-mo-. The u-stem *barku- has no parallel outside Germanic and may have split off from the acc. pl. *barkuns < *bʰorg̑-n̥s of a root noun *bʰérHg̑-s 'birch, birch bark'. The same root noun may have served as a source for the related zero-grade formation Middle Low German borke f. 'bark' < *burkō-. Related: *berkō- 'birch-tree' and *berhta- 'bright'.",1305,165,
803,,A,"PIE *rendʰ- is based on the Germanic words for 'bark' and 'scab' and on Old rándhra- n. 'opening, hole, split'. The Old Indic word is not cognate, but from PIE *lendʰ- 'loin', cf. EWAia II 432. It is thus not possible to postulate a PIE cognate set.",1438,275,
805,55,A,S.v. Proto-Germanic *basta- m. 'bast'. No further connections outside of Germanic. Hardly to Latin fascis 'bundle'.,2465,165,
807,"187, 189",A,"S.v. Proto-Germanic *grauta- 'coarse' from PIE *gʰroud-o-, a regular o-grade adjective to the strong verb *greutan- 'to grind, crush' (< *gʰréud-e-, cf. Lith. grū́sti 'to thrust, pestle, stamp' < *gʰrud-ie-, Ru. grúda- 'heap, pile', SCr. grȕda 'clod, lump' < *gʰroud-eh₂-). In the West-Germanic languages, a meaning shifts towards 'big' took place replacing *mekila- 'big'.",185,165,
808,374,A,"Cf. s.v. OLith. grū́sti 'stampfen, stoßen, härten' (BSl. Latv. grûst, 'stoßen, stampfen'), from PIE *gʰreu̯d- 'zerstoßen, zerstampfen' (cf. ON grjót 'Gestein, Geröll', grautr 'Grütze', OE grēot 'Sand, Kies' [LIV² -, IEW 460f.].",185,352,
809,482,A,"S.v. Proto-Germanic *stōra- ~ *stura- adj. 'big', reflecting PIE *stéh₂uro-  ̴ *sth₂uró-, two variants of a heteroclitic adjective PIE nom.sg. *stéh₂-u̯(ō)r, gen.sg. *sth₂-un-ós, root *steh₂- 'to stand' (LIV² 590-92, IEW 1004-8). (Pre-Germanic *stūró- shortened to *stŭro- by Dybo's Law of pretonic shortening). Cf. Skt. sthūrá- 'big, strong, thick, massy', YAv. stūra- 'strong', Oss. styr / (i)stur 'big, great' < *sth₂u-ró-; Skt. sthávira- 'broad, thick' < *steuh₂r-ó- (with laryngeal metathesis); Skt. sthāvará- 'standing firm, immovable, lasting' < *steh₂-uer-; Arm. stuar 'fat' < *sth₂-ur-o-(?).",7106,165,
810,637-659,A,"S.v. *steh₂- 'wohin treten, sich hinstellen' (LIV 590ff., IEW 1004ff.). Ultimately derived from *steh₂- 'stand' from a heteroclitic stem **sth₂-u̯r- > *stuh₂r-, which is found as a thematised o-stem *stuh₂r-ó- in Indo-Iranian (Ved. sthūrá-, etc.) and Germanic. Cf. discussion p.652n75.",7106,274,
811,204-205,A,"S.v. OLith. dìdis 'groß, bedeutend' (BSl. dižs 'groß; vornehm, herrlich'). No certain cognates outside of Balto-Slavic (but no known Old Prussian correspondences. Commonly conntected with PIE *dei̯h₂- 'to light up' ({ref LIV²} 108, {ref IEW} 183f.), which is however problematic, as Winter's lengthening is lacking.",1890,352,
812,514,A,"S.v. Proto-Slavic *velikъ 'big, great', from PIE *uelh₁- 'to be strong' (cf. Lat. valeō 'be strong, well').",1219,81,
813,174,A,"S.v. Proto-Slavic *golěmъ 'big' (ESSJa VI 202-204). ""The root of this adjective may be identified with the root of Lith. galė́ti 'be able' and W gallu 'id.' which is best reconstructed as *gal(H), with ""European"" a.""",1108,81,
814,580,A,"S.v. OLith. líesas, -à 'mager, hager'. No convincing etymology for Latv. liẽls 'big' and a couple of formally similar Baltic words meaning 'meagre, slender'. They point to an underlying root *lei̯H-, such as PIE *lei̯h₂- 'to fade, to stop' (LIV² 406, IEW 661-2), perhaps also *lei̯d- 'to leave alone'(LIV² 402-3, IEW 666). Even if the Latvian word belongs here, the semantic change has to be explained.",2469,352,
815,97-98,A,"S.v. Proto-Slavic *debelъ adj. o 'fat' (ESSJa IV 201-202) is based on a Balto-Slavic root *deb-. Cognate with Latv. depsis 'small, fat boy', OPr. debīkan Asg. 'big'; debica (Gr.) 'big'; OIc. dapr 'sad'; Nw. daper 'sad, with young'; dabb(e) (dial.) m. 'small, fat fellow'; OHG tapfar 'firm, heavy, thick-set'. Derksen: ""Formally, the Balto-Slavic and the Germanic forms do not match, considering that in the case of PIE *b the Balto-Slavic evidence would violate Winter’s law. It is by no means necessary, however, to assume that this etymon is of Indo-European origin.""",1183,81,
816,89,A,"Cf. s.v. Proto-Germanic *dapra- 'heavy' (cf. RuCS debelyj 'fat', Ru. debelyj 'plump, corpulent' SCr. dèbeo 'fat' < *dʰebʰ-lo-; OCS doblь 'strong', Ru. dóblij 'valiant', Latv. dabļš 'strong, lush' < *dʰobʰ-l-io-). ""This adjective is usually directly compared to the aforementioned forms in Slavic, but the underlying root *dʰebʰ- can only be reconciled with PGm. *dapra- by assuming that it was derived from *dapōn-, an analogical variant belonging to the iterative *dapp/bōn- 'to become heavy' (q.v.) < *dʰobʰ-néh₂-.""",1183,165,
817,239,A,"S.v. *dʰeb- 'dick, fest, gedrungen'.",1183,49,
818,97-98,A,"S.v. Proto-Slavic *debelъ adj. o 'fat' (ESSJa IV 201-202) is based on a Balto-Slavic root *deb-. Cognate with Latv. depsis 'small, fat boy', OPr. debīkan Asg. 'big'; debica (Gr.) 'big'; OIc. dapr 'sad'; Nw. daper 'sad, with young'; dabb(e) (dial.) m. 'small, fat fellow'; OHG tapfar 'firm, heavy, thick-set'. Derksen: ""Formally, the Balto-Slavic and the Germanic forms do not match, considering that in the case of PIE *b the Balto-Slavic evidence would violate Winter’s law. It is by no means necessary, however, to assume that this etymon is of Indo-European origin.""",5124,81,
819,239,A,"S.v. *dʰeb- 'dick, fest, gedrungen'.",5124,49,
820,442-43,A,"Perhaps from nom sg. m./f. *mh₂-i̯ōs and cognate with Gothic mais, OHG mē(r),  'more', PCl. *mati- in Irish maith, Breton mat 'good', cf. *meh₂- 'to give sign' (LIV² 425, IEW 693). According to an alternative etymology, Osk. mais, Latin magis originate from *mag-i̯os.",3302,279,
821,65,A,"S.v. Proto-Germanic *bītan 'to bite, be sharp', from PIE *bʰei̯d- 'split, cleave' (cf. Skt. binátti 'to split, break, destroy', Lat. findō, -ere, 'split, cleave' < *bʰi-né-d-ti, *bʰi-n-d-énti, Gk. φείδομαι 'to spare, save, refrain from').",187,165,
822,280,A,"S.v. *h₂merd- 'ein Leid antun, mißhandeln' (IEW 736-7).",8401,141,
823,194-195,A,"S.v. Proto-Slavic *grỳzti 'gnaw' (ESSJa VII 160-161), from Balto-Slavic *gr(o)uʔź- (cf. Lith. gráužti 'gnaw', Latv. graûzt 'gnaw'). [No etymology given outside of Balto-Slavic].",2028,81,
824,202,A,S.v. Proto-Slavic *xāpàti 'seize' (ESSJa VIII 18-19). [No etymology outside of Slavic given.],1110,81,
827,1551-1552,A,"S.v. φάος 'light, daylight' < PIE *bʰeh₂- 'shine' (cf.  Skt. bhā́ti 'lighten, shine'). The form φῶς resulted from the contraction of medial -άο-.",1482,66,
828,176,A,"S.v. Proto-Slavic *golva 'head' (ESSJa VI 221-222), from PIE *golH-u-eh₂ (cf. Lat. calva 'skull'). [No connection given to Armenian lexemes.]",1142,81,
829,162-163,A,"S.v. Lith. galvà 'head' (Latv. gal̂va 'head', OPr. galwo 'head'), from Proto-Balto-Slavic *golʔwáʔ, from PIE *golH-ueh₂- ""[Contrary to what is printed in Derksen 2008:176, a]n etymological connection with Lat. calva 'skull' is formally impossible. Nevertheless, it is tempting to seek a link with these forms, as the same irregular *k : *g correspondence is observed in words for 'bald', where we have Lat. calvus 'bald' and Skt. kulva- 'bald, thin haired' vs. OCS golъ, OHG kalo 'bald'."" [No connection given to Armenian lexemes.]",1142,353,
830,626-627,A,"S.v. *ten- 'sich spannen, sich dehnen' (IEW 1065-6).  LIV reconstructs an essive formation *tn̥-h₁i̯é- > teneō 'halten' (with remodelling of the morphological ending), cf. Umbr. tenitu 'soll halten'.",893,141,
831,359,A,"Oscan mais 'more', maimas 'greatest' and Umbr. mestru 'greater' are cognate with Latin magnus, thus < PIt. *mg̑-no- 'great', *mg̑-i(V)s- 'greater'. (Also Kroonen 2013, 350).",3302,54,
832,786-787,A,"S.v. AGk. κρύπτω 'to conceal, hide'. Although reminiscent of some potential cognates in Balto-Slavic (cf. OCS kryti 'κρύπτω, ἀποκρύπτω', Lith. kráuti 'pile up') there is no good Indo-European etymology.  The alternation of stem-final π~φ~β verbal forms and derived forms leads Beekes to suppose that the word may be from a Pre-Greek language.",5028,66,
833,154,A,"S.v. *dʰre⁽g̑⁾ʰ- 'schleppen, ziehen' (IEW 257, 273).",5027,141,
835,255-256,A,Cf. s.v. 1. *h₂eg̑- 'treiben' (IEW 4-5).,5152,141,
836,1190,A,"S.v. AGk. πικρός < PIE *pik̑-ro- 'motley, painted'. The Greek forms are identical to Common Slavic *pьstrъ. Cf. Skt. piṃśáti 'to carve, cut to measure, ornament', OCS pьsati 'to write'.  In a different ablaut grade cf. Gk. ποικίλος 'many coloured, spotted, dappled' < *poik̑-.",5056,66,
837,1055-1056,A,"S.v. οἶκος 'house, dwelling of any kind, room, home, household, native land' < PIE *u̯ei̯k̑-/*u̯oi̯k̑- 'house' (= Lat. vīcus 'group of houses, village', Skt. véśa- 'house' < PIE *u̯ói̯k̑-o-).",5022,66,
838,1350-1351,A,"Cf. s.v. σκιά 'shade' (< PIE *skeh₂-ih₂, gen. *skh₂-ieh₂-s 'shadow') and s.v. σκότος 'darkness, dark' (< PIE *skeh₃t- or *skoto- 'shadow, dark'). Note p.1351 ""The relation [of Gk. σκιά] with σκότος is unclear"". (Cf. Skt. chāyā́ 'shadow', Av. a-saiia 'who casts no shadow'.)",5058,66,
839,1632,A,"S.v. χθές 'yesterday', from PIE *dʰgʰi̯es- 'yesterday'. According to Puhvel (1987:316-8), this is in turn derived from *dʰog̑ʰ-o- 'day' by adding a comparative suffix/original endingless locative -i̯es/-is. Germanic and Latin show an additional *-ter suffix.",5015,66,
840,976,A,"S.v. μυῖα 'fly', from PIE *mus-ih₂.",5031,66,
841,476-477,A,"S.v. ἔτος 'year' from PIE *u̯et-os, gen.sg. *u̯et-es-os (s-stem neuter derivative).",515,66,
842,II:495,A,"S.v. Ved. vatsá- 'Kalb, Junges' (m.) and vatsará- 'Jahr'.  Ved. saṃ-vatsará- is a secondary derived form from vatsá-, which is in itself a thematised form of the original s-stem *u̯et-es- >> (transponat) *u̯et-s-o-.",515,172,
843,410-411,A,"S.v. TochB pikul 'year', which with TochA pᵤkul/pᵤkäl reflects Proto-Tocharian *päkwäl. All attempts at an Indo-European derivation are obscure.  Katz (1994) has attempted an explanation from *pi-kʷl̥ < *(h₁e)pi- 'at, upon' + *kʷl̥-, the zero-grade of *kʷel- 'turn, revolve'.  Alternatively Van Windekens suggestion assumes that PT *päkwäl is a verbal noun derived from *päk- 'cook, ripen'.",3147,345,
844,274-275,A,"S.v. Proto-Slavic *lě̀to n. 'summer' (ESSJa XV 8-12), from PIE *leh₁-tóm (cf. OIr. laithe n. 'day').",1936,81,
845,172-173,A,"Cf. s.v. Proto-Slavic *gȏdъ m. 'right time' < PIE *gʰodʰ-o- (cf. Goth. goþs 'good', OHG guot 'good').",1195,81,
846,"433, 438",A,"S.v. Proto-Slavic *rokъ 'time', derived from the same root as Proto-Slavic *rekti 'speak, say' < PIE *rek-. For the semantics, cf. Lat. fātum [< *bʰh₂-to- 'spoken'].",1297,81,
847,639,A,"S.v. Lat. umbra 'shadow, shade', generally connected with Lithuanian ùnksna 'shade' and reconstructed as *unksrā-. The etymology suggests a root *(H)unk- (full-grade *(H)uenk-), but the only comparable root in LIV² is *u̯enk- 'to bend', which does not seem to be a good semantic match. No other root etymology.",5169,54,
848,178-179,A,"S.v. Lat. domus, -ī, / -ūs. The Latin (and Slavic) forms are from a u-stem derivative of PIE *dōm, *dem- 'house' (Skt. dám-, Av. dam- < *de/om-; Skt. dáma- 'house', Gk. δόμος 'house, layer of bricks' < *dóm-o-, Russ. дом 'house', (L.sg. дому) < *dom-u-)",5141,54,
849,37,A,"S.v. Lat. amārus 'bitter', possibly from PIE *h₂h₃m-ro-? (cf. Skt. amlá- 'sour, acid', OIc. apr 'sharp, cold', etc.). Some morphological details remain unclear.",5172,54,
850,500,A,"S.v. Lat. persōna 'masque de théâtre'. Latin persona appears to be a loanword from Etruscan φersu 'theatre mask', which in turn appears to be a borrowing from Greek πρόσωπον 'face', but the exact relation and phonological correspondences are difficult to determine.  The spread of the word in its sense 'theatre mask' is connected to the spread of Greek-style dramatic performance in the Mediterranean.",915,316,
851,478,A,"S.v. εὕδω, which is compounded with the preposition/preverb κατά 'down' in Attic. Several unconvincing suggestions: 1) related to Goth. sutis 'quiet, calm' and Lat. sūdus 'soft', 2) to IE *seu-d- beside *su-ep-, Skt. svapiti 'sleeps', etc. ({ref Benveniste 1935}:156), or 3) to OE swodrian 'to sleep tight'.",4136,66,
852,70,A,"S.v. Proto-Germanic *blōda-, a neuter collective created to either *blēan- 'to blow' or *blōan- 'to flow'.",189,165,
853,,A,"Three possible etymologies: 1) PIE *meg̑-, than cognate with Latin magnus; 2) PIE *meh₂- 'to give a sign' (LIV² 425, IEW 693), than cognate with PCl. *mati- 'good'; 3) PIE *meh₁-, then cognate with PCl. *māro- 'big' and Greek.",3302,275,
854,"476, fn. 33",A,From *meh₁- 'big'.,3302,274,
859,221,A,The Albanian word originates from *su-petno-t- ({ref Huld 1984}:154),8378,131,
860,525,A,"S.v. Alb. zog 'bird' ""An Oriental Wanderwort, presumably of Iranian origin, cf. Arm. jag 'chick', NPers zaq 'cub'.""",361,105,
862,409,B,"From PIE *g̑ʰāgʷʰ- 'young of an animal, especially of a bird'. Cognate with Mod. Pers. zāq 'young animal, esp. chick' (the orthography repesents zāɣ). Borrowed from Persian: Arm. jag 'young of an animal, nestling'.",361,49,
863,38,A,"S.v. Proto-Germanic *askōn- f. 'ashes', but notes that it remains problematic to bring the Gothic form and the North and West Germanic forms together. Thus he proposes an alternative source form gmc. *adᶻdʰgʰ- from a compound formed from the roots ie. *h₂ed- 'to desiccate' and *dʰegʷʰ- 'to burn'.",178,165,
864,48,A,"S.v. Proto-Germanic *baka-, as though from PIE *bʰog-o-, but there are no clear cognates outside of Germanic. Borrowed into Slavic as OCS bokъ m. 'side'. Cf. n-stem *bakan- > OHG bahho, MHG bache, MDu. bake m. 'bacon'.",180,165,
866,73-74,A,Cf. s.v. bʰelg̑ʰ- 'schwellen' (IEW 125-6).,8346,141,
867,70-71,A,S.v. *bʰei̯d- 'spalten' (IEW 116-7).,187,141,
868,"86-87, 97",A,"S.v. Proto-Germanic *daga- 'day', from PIE *dʰog̑ʰ-o-, a thematic noun related to PGmc. *dōgera- ~ *dōgena- 'a full day, twenty-four hours' < *dʰṓg̑ʰ-r/n- (cf. Skt. áhar-, gen. áhnas, loc. áhan, áhani 'day' OAv. gen.pl. asnąm 'id.'). ""In Early Indo-Iranian, this formation lost its initial dental, possibly in the locative *dʰgʰ-én-i, where the root had a zero-grade.""",200,165,
869,118-119,A,"S.v. Proto-Germanic *erþō- f. 'soil, earth, land'.  If the comparison with the Ancient Greek lexeme ἔρα f. 'earth' the forms may be respectively reconstructed *h₁er-t-eh₂- > PGmc. *erþō-, *h₁er-eh₂- > AGk. ἔρα, but this comparison is tenuous.  Within Germanic the lexeme is probably cognate with *erwan- m. 'sand, soil'.",209,165,
870,119,A,"S.v. Proto-Germanic *etan- 'to eat', from PIE *h₁ed- 'eat' (cf. Hitt. ez(za)zi ~ adanzi, Skt. átti, adánti, Gk. ἔδω, Lat. edō, ēsse, OIr. ithid, Lith. ė́sti, etc.).",210,165,
871,125-126,A,"S.v. Proto-Germanic *fallan- 'to fall'.  K. adopts a new Indo-European etymology following Praust (""What Greek can tell us about the prehistory of English 'to fall'"" unpublished paper at the conference Greek and Latin from an Indo-European from an Indo-European Perspective, Cambridge, July 2005) and {ref Neri 2007} as from a univerbation of the preverb *h₂po- and the root *h₃elh₁- 'to fall' (cf. Hitt. ḫallannai ~ ḫallannii̯anzi 'to trample down, flatten', Gk. ὄλλυμι 'destroy, kill, lose').",212,165,
873,134,A,"S.v. Proto-Germanic *fehtan- 'to fight'.  Often assumed to be connected with LIV² 1. *pek̑- '(Wolle oder Haare) rupfen, zausen' (cf. Gk. πέκω 'kämme, schere', Lith. pešù 'rupfen', Lat. pectō 'kämmen, krempeln'), but this depends on a conjectural semantic shift from 'pluck, pull hair' > 'fight'.",218,165,
874,,A,"The roots *pleu̯d- 'schwimmen, fließen', *pleu̯k- 'schweben, schwimmen' are treated as variants of *pleu̯- 'schwimmen, schweben' with root-extensions in Pokorny.  Strictly, these root variants should be listed as separate cognates, but considering 'float' is being dropped from the Jena 100 and 200 lists, I'm not bothering with this task unless the 'float' later becomes reinstated. Cognacy of Armenian cognates also doubtful.",1226,269,
875,154-155,A,"S.v. Proto-Germanic *freusan- 'to freeze' < PIE *préus-e- (cf. W. rhew 'frost, rhime' < *preuso-).",226,165,
876,"162-163, 184",A,"S.v. Proto-Germanic *gōda- adj. 'suitable, good', an o-grade adjective to a lost strong-verb *gadan- 'to fit' < *gʰedʰ-.  Cf. denominal verb *gadōjan- 'to fit (together)' (pp.162-163).",229,165,
877,260,A,"S.v. Proto-Germanic *hūsa- 'house', an etymologically obscure word.",5204,165,
878,271,A,"Cf. s.v. Proto-Germanic *īsa- 'ice'. There are no certain cognates outside of Germanic. ""Av. aexa- can only be related if it continues a form *h₁eiH-ko- that developed into *HeikHo- by laryngeal metathesis.""",245,165,
880,168-170,A,S.v. *g̑neh₃- 'erkennen' (IEW 376-8).,249,141,
881,692,A,"Traditionally reconstructed as PIE *lū̆s (gen. *luu̯-ós) 'Laus', with frequent tabooistic distortions in individual branches.",7396,49,
882,20,A,"S.v. Proto-Germanic *alda- adj. '(grown) old' from PIE *h₂el-tó- (cf. Lat. altus adj. 'high', OIr. alt m. 'height, cliff'.  From fem. *h₂el-teh₂- > Welsh allt 'hill'). From the same root *h₂el- found in Proto-Germanic *alan- 'to grow up; to rear' (cf. Lat. alere 'to nourish', OIr. alid 'to feed').",268,165,
883,11,A,"S.v. Proto-Germanic *aina-, from PIE *Hoi̯-Hn-o-.",91,165,
884,420,A,"S.v. Proto-Germanic *sagjan- 'to say, recount' from PIE *sokʷ-éi̯e/o-
 (cf. SCS sočiti 'to indicate', Ru. sočít' (sočú) 'to look for, track down, summon', SCr. sòčiti 'to establish the guilt of, reveal, find'; Lat. īnsece 'to tell', Gk. ἐν(ν)έπω 'to say, recount, announce').",285,165,
885,526-527,A,S.v. 2. *sekʷ- 'sagen' (IEW 897-8).,285,141,
886,525-526,A,"S.v. 1. *sekʷ- 'sich anschließen' (IEW 986-7); Germanic forms are only questionably attached, cf. n7 often connected under the assumption of a semantic development 'see, have one's eye on' < *'follow (with one's eyes)'.",288,141,
887,629,A,"S.v. 2. *ten⁽g̑⁾- 'dünken, scheinen (unpers.)' (IEW 1088). Only Italic and Germanic (cf. OLat. tongēre 'wissen'). Cf. n1 ""Grundbedeutung wohl 'jmdm. in den Sinn kommen"".",322,141,
888,250-251,A,"S.v. *h₁nek̑- 'erhalten, nehmen'.  Cf. Attic Greek aor. ἐνεγκεῖν < *h₁é-h₁nek̑-e-, pf. ἐνήνοχα < *h₁ne-h₁nok̑-",5130,141,
889,66,A,"S.v. *bʰedʰh₂- 'stechen, graben' (IEW 113-4).  Cf. OCS bodǫ (bosti) 'stechen', Lith. bedù (bèsti) 'stechen, graben'.",1412,141,
