id,citation_text,description,bookauthor,booktitle,chapter,edition,howpublished,note,number,institution,pages,title,ENTRYTYPE,link,volume,year,shorthand,author,editor,editora,publisher,series,authortype,booksubtitle,editoratype,editortype,isbn,journaltitle,location,part,subtitle,deprecated,TRS,respect
214,"de Vries, Jan (1961). Altnordisches Etymologisches Wörterbuch. Old Norse etymological dictionary. Leiden: Brill.",Old Norse etymological dictionary,,,,,,Old Norse etymological dictionary,,,,Altnordisches Etymologisches Wörterbuch,book,,,1961,de Vries 1961,"de Vries, Jan",,,Brill,,P,,,,,,Leiden,,,False,False,
215,"Heggstad, Leiv, Finn Hødnebø & Erik Simensen (2008). Norrøn Ordbok. Old Norse - Norwegian dictionary. Oslo: Det Norske Samlaget.",Old Norse - Norwegian dictionary,,,,,,Old Norse - Norwegian dictionary,,,,Norrøn Ordbok,book,,,2008,Heggstad et al. 2008,"Heggstad, Leiv and Hødnebø, Finn and Simensen, Erik",,,Det Norske Samlaget,,P,,,,,,Oslo,,,False,False,
216,"Schwarze, Helge L. (1996). Engelsk-dansk ordbog. English-Danish dictionary. Copenhagen: Munksgaard.",English-Danish dictionary,,,,,,English-Danish dictionary,,,,Engelsk-dansk ordbog,book,,,1996,Schwarze 1996,"Schwarze, Helge L.",,,Munksgaard,,P,,,,,,Copenhagen,,,False,False,
217,"Bjerrum, Marie & Anders Bjerrum (1974). Ordbog over Fjoldemålet. Danish-Fjoldemål dictionary. Copenhagen: Akademisk Forlag.",Danish-Fjoldemål dictionary,,,,,,Danish-Fjoldemål dictionary,,,,Ordbog over Fjoldemålet,book,,,1974,Bjerrum & Bjerrum 1974,"Bjerrum, Marie and Bjerrum, Anders",,,Akademisk Forlag,,P,,,,,,Copenhagen,,,False,False,
218,"Árnason, Mörður, ed. (2002). Íslensk orðabók. Icelandic dictionary. Reykjavík: Edda.",Icelandic dictionary,,,,,,Icelandic dictionary,,,,Íslensk orðabók,book,,,2002,Árnason 2002,,"Árnason, Mörður",,Edda,,P,,,,,,Reykjavík,,,False,False,
219,"Wangensteen, Boye, ed. (2005). Bokmålsordboka. Bokmål Norwegian dictionary. Oslo: Kunnskapsforlaget.",Bokmål Norwegian dictionary,,,,,,Bokmål Norwegian dictionary,,,,Bokmålsordboka,book,,,2005,Wangensteen 2005,,"Wangensteen, Boye",,Kunnskapsforlaget,,P,,,,,,Oslo,,,False,False,
220,"Gustavson, Herbert (1940). Gutamålet: en historisk-deskriptiv översikt. Uppsala: Appelbergs Boktryckeriaktiebolag.",,,,,,,,,,,Gutamålet: en historisk-deskriptiv översikt,book,,,1940,Gustavson 1940,"Gustavson, Herbert",,,Appelbergs Boktryckeriaktiebolag,,P,,,,,,Uppsala,,,False,False,
221,"Piping, Hugo (1907). Guta lag och Guta saga, jämte ordbok. Copenhagen: S.L. Møllers bogtrykkeri.",,,,,,,,,,,"Guta lag och Guta saga, jämte ordbok",book,,,1907,Piping 1907,"Piping, Hugo",,,S.L. Møllers bogtrykkeri,,P,,,,,,Copenhagen,,,False,False,
222,"Gustavson, H., ed. (1972–1986). Ordbok över Laumålet på Gotland. Uppsala: AB Lundequistska Bokhandeln.",,,,,,,,,,,Ordbok över Laumålet på Gotland,book,,,1972/1986,Gustavson 1972–1986,,"Gustavson, H.",,AB Lundequistska Bokhandeln,,,,,,,,Uppsala,,,False,False,
223,"Van Sterkenburg, P., ed. (2002). Van Dale Groot woordenboek hedendaags Nederlands. Utrecht and Antwerpen: Van Dale Lexicografie.",,,,,,,,,,,Van Dale Groot woordenboek hedendaags Nederlands,book,,,2002,Van Sterkenburg 2002,,"Van Sterkenburg, P.",,Van Dale Lexicografie,,P,,,,,,Utrecht and Antwerpen,,,False,False,
224,"de Vries, Jan (1997). Nederlands Etymologisch Woordenboek. Leiden: Koninklijke Brill.",,,,,,,,,,,Nederlands Etymologisch Woordenboek,book,,,1997,de Vries 1997,"de Vries, Jan",,,Koninklijke Brill,,P,,,,,,Leiden,,,False,False,
226,"De Bhaldraithe, Tomás (1959). English-Irish dictionary. Dublin: Oifig an tSoláthair.",,,,,,,,,,,English-Irish dictionary,book,,,1959,De Bhaldraithe 1959,"De Bhaldraithe, Tomás",,,Oifig an tSoláthair,,P,,,,,,Dublin,,,False,False,
227,"Thurneysen, Rudolf (1946). A Grammar of Old Irish. Dublin: Dublin Institute of Advanced Studies.",,,,,,,,,,,A Grammar of Old Irish,book,,,1946,Thurneysen 1946,"Thurneysen, Rudolf",,,Dublin Institute of Advanced Studies,,P,,,,,,Dublin,,,False,False,
228,"Anderson, Cormac. Max Planck Institute for Evolutionary Anthropology.",,,,,,,Max Planck Institute for Evolutionary Anthropology,,,,,misc,,,,"Anderson, Cormac","Anderson, Cormac",,,,,E,,,,,,,,,False,False,
231,"Macbain, Alexander & Malcolm Macfarlane (1911). An etymological dictionary of the Gaelic language. Stirling: E. Mackay.",,,,,,,,,,,An etymological dictionary of the Gaelic language,book,,,1911,Macbain & Macfarlane 1911,"Macbain, Alexander and Macfarlane, Malcolm",,,"Mackay, E.",,P,,,,,,Stirling,,,False,False,
233,Index of /Mannin/fockleyr. url: http://www.mannin.info/Mannin/fockleyr.,,,,,,,,,,,Index of /Mannin/fockleyr,online,http://www.mannin.info/Mannin/fockleyr,,,Index of /Mannin/fockleyr,,,,,,U,,,,,,,,,False,False,
235,"Favereau, Francis (1997a). Dictionnaire du breton contemporain – Geriadur ar brezhoneg a-vremañ. Consult printed version for phonetical transcriptions and examples of usage. Morlaix: Skol Vreizh. url: http://www.arkaevraz.net/dicobzh/index.",Consult printed version for phonetical transcriptions and examples of usage.,,,,,,Consult printed version for phonetical transcriptions and examples of usage,,,,Dictionnaire du breton contemporain – Geriadur ar brezhoneg a-vremañ,book,http://www.arkaevraz.net/dicobzh/index,,1997,Favereau 1997a,"Favereau, Francis",,,Skol Vreizh,,P,,,,,,Morlaix,,,False,False,
236,Geiriadur Prifysgol Cymru (GPC). A dictionary of the Welsh Language. url: http://www.welsh-dictionary.ac.uk/.,Geiriadur Prifysgol Cymru (Welsh historical dictionary),,,,,,,,,,Geiriadur Prifysgol Cymru (GPC),online,http://www.welsh-dictionary.ac.uk/,,,Geiriadur Prifysgol Cymru (GPC),,,,,,U,,,,,,,,A dictionary of the Welsh Language,False,False,
237,University of Wales dictionary. url: http://www.geiriadur.net/.,University of Wales dictionary,,,,,,,,,,University of Wales dictionary,online,http://www.geiriadur.net/,,,University of Wales dictionary,,,,,,U,,,,,,,,,False,False,
238,cornish dictionary – gerlyver kernewek. url: http://www.cornishdictionary.org.uk.,,,,,,,,,,,cornish dictionary – gerlyver kernewek,online,http://www.cornishdictionary.org.uk,,,http://www.cornishdictionary.org.uk,,,,,,U,,,,,,,,,False,False,
240,"Falileyev, Alexander (2000). Etymological glossary of Old Welsh. Tübingen: Niemeyer.",,,,,,,,,,,Etymological glossary of Old Welsh,book,,,2000,Falileyev 2000,"Falileyev, Alexander",,,Niemeyer,,P,,,,,,Tübingen,,,False,False,
241,"Martirosyan, Hrach (2008). Studies in Armenian Etymology. with special emphasis on dialects and culture – Indo-European heritage. PhD Dissertation, Universiteit Leiden. url: https://openaccess.leidenuniv.nl/bitstream/handle/1887/12604/Thesis.pdf.",,,,,,,"PhD Dissertation, Universiteit Leiden",,,,Studies in Armenian Etymology,online,https://openaccess.leidenuniv.nl/bitstream/handle/1887/12604/Thesis.pdf,,2008,Martirosyan 2008,"Martirosyan, Hrach",,,,,P,,,,,,,,with special emphasis on dialects and culture -- Indo-European heritage,False,False,
242,"Monier-Williams, Monier (1851). A dictionary, English and Sanscrit. London: W. H. Allen and Co. url: http://www.sanskrit-lexicon.uni-koeln.de/scans/MWEScan/2013/web/webtc2/index.php.",,,,,,,,,,,"A dictionary, English and Sanscrit",book,http://www.sanskrit-lexicon.uni-koeln.de/scans/MWEScan/2013/web/webtc2/index.php,,1851,Monier-Williams 1851,"Monier-Williams, Monier",,,W. H. Allen and Co.,,U,,,,,,London,,,False,False,
244,"Grassmann, Hermann (1873). Wörterbuch zum Rig-Veda. Leipzig: F. A. Brockhaus.",,,,,,,,,,,Wörterbuch zum Rig-Veda,book,,,1873,Grassmann 1873,"Grassmann, Hermann",,,F. A. Brockhaus,,P,,,,,,Leipzig,,,False,False,
245,"Griffith, Ralph T. H. (1895). The hymns of the Atharvaveda. Benares: E. J. Lazarus & Co. url: https://archive.org/details/hymnsatharvaved00unkngoog.",,,,,,,,,,,The hymns of the Atharvaveda,book,https://archive.org/details/hymnsatharvaved00unkngoog,,1895,Griffith 1895,"Griffith, Ralph T. H.",,,E. J. Lazarus \& Co,,P,,,,,,Benares,,,False,False,
246,Pali Text Society (1921–1925). The Pali Text Society’s Pali-English dictionary. London: Chipstead.,,,,,,,,,,,The Pali Text Society's Pali-English dictionary,book,,,1921/1925,Pali Text Society 1921–1925,Pali Text Society,,,Chipstead,,,,,,,,London,,,False,False,
248,Słownik języka polskiego PWN. url: http://sjp.pwn.pl/.,Monolingual Polish dictionary,,,,,,Monolingual Polish dictionary,,,,Słownik języka polskiego PWN,online,http://sjp.pwn.pl/,,,SJPPWN,,,,,,U,,,,,,,,,False,False,
249,"Jocz, Lechosław. Max Planck Institute for the Science of Human History and PWSZ w Gorzowie Wlkp.",,,,,,,Max Planck Institute for the Science of Human History and PWSZ w Gorzowie Wlkp.,,,,,misc,,,,"Jocz, Lechosław","Jocz, Lechosław",,,,,E,,,,,,,,,False,False,
250,SUM (1970-1980). Slovnik ukraïnskoï movi. Kiïv: Naukova dumka.,Monolingual Ukrainian dictionary,,,,,,Monolingual Ukrainian dictionary,,,,Slovnik ukraïnskoï movi,online,http://sum.in.ua/,,1970-1980,SUM,,"Bìlodìd, Ì. K.",,Naukova dumka,,U,,,,,,Kiïv,,,False,False,
251,Èncyklâpèdyâ èlektronnaâ. url: http://www.slounik.org/.,Various Belarusian dictionaries,,,,,,Collection of Belarusian dictionaries,,,,Èncyklâpèdyâ èlektronnaâ,online,http://www.slounik.org/,,,EEBLR,,,,,,U,,,,,,,,,False,False,
253,"Kur’ânka, M. (2006). Nâmecka-belaruskì sloŭnik – Deutsch-belarussisches Wörterbuch. Mìnsk: Zmìcer Kolas.",German-Belarusian dictionary.,,,,,,,,,,Nâmecka-belaruskì sloŭnik – Deutsch-belarussisches Wörterbuch,book,,,2006,Kur’ânka 2006,"Kur’ânka, M.",,,Zmìcer Kolas,,P,,,,,,Mìnsk,,,False,False,
255,"MAS (1999). Slovar' russkogo âzyka. Moskva: Izdatel'stvo ""Russkij âzyk"".",Monolingual Russian dictionary,,,,,,Monolingual Russian dictionary,,,,Slovar' russkogo âzyka,online,http://feb-web.ru/feb/mas/mas-abc/default.asp,,1999,MAS,,"Evgen'eva, A. P.",,"Izdatel'stvo ""Russkij âzyk""",,U,,,,,,Moskva,,,False,False,
257,German-Upper Sorbian dictionary. url: http://boehmak.de/.,German-Upper Sorbian dictionary,,,,,,,,,,German-Upper Sorbian dictionary,online,http://boehmak.de/,,,German-Upper Sorbian dictionary,,,,,,U,,,,,,,,,False,False,
258,Dolnoserbski.de. Serbski Institut (Chóśebuz). url: http://niedersorbisch.de/.,Collection of Lower Sorbian dictionaries,,,,,,Collection of Lower Sorbian dictionaries,,,,Dolnoserbski.de. Serbski Institut (Chóśebuz).,online,http://niedersorbisch.de/,,,DsSI,,,,,,U,,,,,,,,,False,False,
259,"Boryś, W. (2005). Słownik etymologiczny języka polskiego. Etymology dictionary of the Polish language. Kraków: Wydawnictwo Literackie.",Etymology dictionary of the Polish language,,,,,,Etymology dictionary of the Polish language,,,,Słownik etymologiczny języka polskiego,book,,,2005,Boryś 2005,"Boryś, W.",,,Wydawnictwo Literackie,,P,,,,,,Kraków,,,False,False,
260,"Schuster-Šewc, H. (1978–1989). Historisch-etymologisches Wörterbuch der ober- und niedersorbischen Sprache. Bautzen: Domowina-Verlag.",Etymology dictionary of the Upper and Lower Sorbian Lanugage,,,,,,Etymology dictionary of the Upper and Lower Sorbian Language,,,,Historisch-etymologisches Wörterbuch der ober- und niedersorbischen Sprache,book,,,1978-1989,Schuster-Šewc 1978–1989,"Schuster-Šewc, H.",,,Domowina-Verlag,,,,,,,,Bautzen,,,False,False,
261,English-Czech-English (i.a.) dictionary. url: http://slovnik.cz/.,English-Czech-English (i.a.) dictionary,,,,,,,,,,English-Czech-English (i.a.) dictionary,online,http://slovnik.cz/,,,English-Czech-English (i.a.) dictionary,,,,,,U,,,,,,,,,False,False,
262,SSČ (2005). Slovník spisovné češtiny pro školu a veřejnost. Praha: Academia.,Monolingual Czech dictionary,,,,,,Monolingual Czech dictionary,,,,Slovník spisovné češtiny pro školu a veřejnost,book,,,2005,SSC,SSČ,"Filipec, J. and Daneš, F. and Machač, J. and Mejstřík, V.",,Academia,,P,,,,,,Praha,,,False,False,
263,Slovník spisovného jazyka českého. url: http://ssjc.ujc.cas.cz/.,Monolingual Czech Dictionary,,,,,,Monolingual Czech Dictionary,,,,Slovník spisovného jazyka českého,online,http://ssjc.ujc.cas.cz/,,,SSJC,,,,,,U,,,,,,,,,False,False,
264,Collection of multilingual and translation Slovak dictionaries. url: http://slovnik.azet.sk/.,Collection of multilingual and translation Slovak dictionaries,,,,,,,,,,Collection of multilingual and translation Slovak dictionaries,online,http://slovnik.azet.sk/,,,Collection of multilingual and translation Slovak dictionaries,,,,,,U,,,,,,,,,False,False,
266,Slovenské slovníky. Jazykovedný ústav Ľudovíta Štúra SAV. url: http://slovniky.juls.savba.sk/.,Collection of monolingual Slovak dictionaries,,,,,,Collection of monolingual Slovak dictionaries,,,,Slovenské slovníky. Jazykovedný ústav Ľudovíta Štúra SAV,online,http://slovniky.juls.savba.sk/,,,SlSAV,,,,,,U,,,,,,,,,False,False,
267,"Cejtlin, R. M., Blagova, È. & Večerka, R. (eds.) (1999). Staroslavânskij slovar'. Moskva: Izdatel’stvo ""Russkij âzyk"".",Old Church Slavonic dictionary (based on the Canon only),,,,,,,,,,Staroslavânskij slovar',book,,,1999,Cejtlin et al. 1999,,"Cejtlin, R. M. and Blagova, È. and Večerka, R.",,"Izdatel’stvo ""Russkij âzyk""",,P,,,,,,Moskva,,Po rukopisâm X-XI vekov,False,False,
269,"Scarborough, Matthew. University of Cambridge, MPI-SHH Jena, Research Associate in Comparative Indo-European Linguistics on the IELex 2 / CoBL-IE Project, September 2015–.","Research Associate in Comparative Indo-European Linguistics on the IELex 2 / CoBL-IE Project, September 2015–.",,,,,,"University of Cambridge, MPI-SHH Jena, Research Associate in Comparative Indo-European Linguistics on the IELex 2 / CoBL-IE Project, September 2015–.",,,,,misc,,,,"Scarborough, Matthew","Scarborough, Matthew",,,,,E,,,,,,,,,False,False,
270,"Chantraine, Pierre (1968–1980). Dictionnaire étymologique de la langue grecque. histoire des mots. Paris: Klinksieck.",,,,,,,,,,,Dictionnaire étymologique de la langue grecque,book,,,1968/1980,Chantraine 1968–1980,"Chantraine, Pierre",,,Klinksieck,,,,,,,,Paris,,,False,False,
271,"Andriotis, Nikolaos et al., eds. (1999). Dictionary of Standard Modern Greek. Thessaloniki: Institute of Modern Greek Studies. url: http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/index.html.","Ανδριώτης, Νικόλαος (et al.). 1999. Λεξικό της κοινής νεοελληνικής. Θεσσαλονίκη: Ινστιτούτο Νεοελληνικών Σπουδών.

Online version: http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/index.html",,,,,,Dictionary of Standard Modern Greek,,,,Λεξικό της κοινής νεοελληνικής,book,http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/index.html,,1999,Andriotis 1999,,"Andriotis, Nikolaos and others",,Institute of Modern Greek Studies,,P,,,,,,Thessaloniki,,,False,False,
273,"Schrijver, Peter (2011b). “Old British”. In: Brythonic Celtic – Britannisches Keltisch. From Medieval British to Modern Breton. Ed. by Elmar Ternes. Münchner Forschungen zur historischen Sprachwissenschaft (MFhS) 11. Bremen: Hempen, pp. 1–84.",,,Brythonic Celtic – Britannisches Keltisch,,,,,11,,1–84,Old British,inbook,,,2011,Schrijver 2011b,"Schrijver, Peter","Ternes, Elmar",,Hempen,Münchner Forschungen zur historischen Sprachwissenschaft (MFhS),P,From Medieval British to Modern Breton,,,,,Bremen,,,False,False,
274,"Wodtko, Dagmar S., Britta Irslinger & Carolin Schneider (2008). Nomina im indogermanischen Lexikon (NIL). Heidelberg: Winter.",,,,,,,,,,,Nomina im indogermanischen Lexikon (NIL),book,,,2008,NIL,"Wodtko, Dagmar S. and Irslinger, Britta and Schneider, Carolin",,,Winter,,P,,,,,,Heidelberg,,,False,False,
275,"Irslinger, Britta. University of Freiburg and Max Planck Institute for the Science of Human History.",,,,,,,University of Freiburg and Max Planck Institute for the Science of Human History,,,,,misc,,,,"Irslinger, Britta","Irslinger, Britta",,,,,E,,,,,,,,,False,False,
276,"Macak, Martin. University of Georgia.",,,,,,,University of Georgia,,,,,misc,,,,"Macak, Martin","Macak, Martin",,,,,E,,,,,,,,,False,False,
278,"Heggarty, Paul. MPI-SHH, Jena.",,,,,,,"MPI-SHH, Jena",,,,,misc,,,,"Heggarty, Paul","Heggarty, Paul",,,,,E,,,,,,,,,False,False,
279,"Untermann, Jürgen (2000). Wörterbuch des Oskisch-Umbrischen. Heidelberg: Winter.",,,,,,,,,,,Wörterbuch des Oskisch-Umbrischen,book,,,2000,Untermann 2000,"Untermann, Jürgen",,,Winter,,P,,,,,,Heidelberg,,,False,False,
280,"Hemon, Roparz (1979–1998). Geriadur istorel ar brezhoneg (GIB) – Dictionnaire historique du breton. 2nd ed. This dictionary is uncomplete. Always check with Meurgorf. Plomelin: Preder.",This dictionary is uncomplete. Always check with Meurgorf.,,,,2,,This dictionary is uncomplete. Always check with Meurgorf.,,,,Geriadur istorel ar brezhoneg (GIB) – Dictionnaire historique du breton,book,,,1979/1998,Hemon 1979–1998,"Hemon, Roparz",,,Preder,,,,,,,,Plomelin,,,False,False,
283,Dictionnaire historique Meurgorf. Historical dictionary in the process of being built up and therefore partly incomplete. Always check also GIB. url: http://meurgorf.brezhoneg.bzh/.,Historical dictionary in the process of being built up and therefore partly incomplete. Always check also GIB.,,,,,,Historical dictionary in the process of being built up and therefore partly incomplete. Always check also GIB.,,,,Dictionnaire historique Meurgorf,online,http://meurgorf.brezhoneg.bzh/,,,Dictionnaire historique Meurgorf,,,,,,U,,,,,,,,,False,False,
285,"Hemon, Roparz (1975). A historical morphology and syntax of Breton. Medieval and Modern Breton Series III. Dublin: Dublin Institute for Advanced Studies.",,,,,,,,III,,,A historical morphology and syntax of Breton,book,,,1975,Hemon 1975,"Hemon, Roparz",,,Dublin Institute for Advanced Studies,Medieval and Modern Breton Series,,,,,,,Dublin,,,False,False,
288,"Favereau, Francis (1997b). Grammaire du Breton contemporain – Yezhadur ar brezhoneg a-vremañ. Morlaix: Skol Vreizh.",,,,,,,,,,,Grammaire du Breton contemporain – Yezhadur ar brezhoneg a-vremañ,book,,,1997,Favereau 1997b,"Favereau, Francis",,,Skol Vreizh,,P,,,,,,Morlaix,,,False,False,
289,"Schrijver, Peter (2011a). “Middle and Early Modern Breton”. In: Brythonic Celtic – Britannisches Keltisch. From Medieval British to Modern Breton. Ed. by Elmar Ternes. Münchner Forschungen zur historischen Sprachwissenschaft (MFhS) 11. Bremen: Hempen, pp. 359–329.",,,Brythonic Celtic – Britannisches Keltisch,,,,,11,,359–329,Middle and Early Modern Breton,inbook,,,2011,Schrijver 2011a,"Schrijver, Peter","Ternes, Elmar",,Hempen,Münchner Forschungen zur historischen Sprachwissenschaft (MFhS),P,From Medieval British to Modern Breton,,,,,Bremen,,,False,False,
290,"Sihler, Andrew Littleton (1995). New comparative grammar of Greek and Latin. New York and Oxford: Oxford University Press. isbn: 0-19-508345-8.",,,,,,,,,,,New comparative grammar of Greek and Latin,book,,,1995,Sihler 1995,"Sihler, Andrew Littleton",,,Oxford University Press,,P,,,,0-19-508345-8,,New York and Oxford,,,False,False,
292,Hrvatski jezični portal. url: http://hjp.znanje.hr/.,monolingual Croatian dictionary,,,,,,Collection of monolingual Croatian dictionaries.,,,,Hrvatski jezični portal,online,http://hjp.znanje.hr/,,,HJP,,,,,,U,,,,,,,,,False,False,
293,"Dunkel, George E. (2014a). Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP). .1: Einleitung, Terminologie, Lautgesetze, Adverbialendungen, Nominalsuffixe, Anhänge und Indices. Indogermanische Bibliothek, 2. Reihe, Wörterbücher. NB: Vol. 1 and Vol. 2 have their own pagination. Heidelberg: Winter.",NB: Vol.1 & Vol.2 have their own pagination.,,,,,,NB: Vol. 1 and Vol. 2 have their own pagination.,,,,Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP),book,,,2014,LIPP 1,"Dunkel, George E.",,,Winter,"Indogermanische Bibliothek, 2. Reihe, Wörterbücher",P,,,,,,Heidelberg,,"Band 1: Einleitung, Terminologie, Lautgesetze, Adverbialendungen, Nominalsuffixe, Anhänge und Indices",False,False,
294,"Dunkel, George E. (2014b). Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP). .2: Lexikon. Indogermanische Bibliothek, 2. Reihe, Wörterbücher. NB: Vol. 1 and Vol. 2 have their own pagination. Heidelberg: Winter.",NB: Vol. 1 & Vol. 2 have their own pagination.,,,,,,NB: Vol. 1 and Vol. 2 have their own pagination.,,,,Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP),book,,,2014,LIPP 2,"Dunkel, George E.",,,Winter,"Indogermanische Bibliothek, 2. Reihe, Wörterbücher",P,,,,,,Heidelberg,,"Band 2: Einleitung, Terminologie, Lautgesetze, Adverbialendungen, Nominalsuffixe, Anhänge und Indices",False,False,
296,"Vendryes, Joseph, Edouard Bachellery & Pierre-Yves Lambert (1959–1996). Lexique étymologique de l’Irlandais Ancien (LEIA). Vol. 1–7. Dublin: Dublin Inst. for Advanced Studies.",,,,,,,,,,,Lexique étymologique de l'Irlandais Ancien (LEIA),book,,1–7,1959/1996,Vendryes et al. 1959–1996,"Vendryes, Joseph and Bachellery, Edouard and Lambert, Pierre-Yves",,,Dublin Inst. for Advanced Studies,,,,,,,,Dublin,,,False,False,
299,"Irslinger, Britta Sofie (2002). Abstrakta mit Dentalsuffixen im Altirischen. Indogermanische Bibliothek 3. Heidelberg: Winter.",,,,,,,,3,,,Abstrakta mit Dentalsuffixen im Altirischen,book,,,2002,Irslinger 2002,"Irslinger, Britta Sofie",,,Winter,Indogermanische Bibliothek,P,,,,,,Heidelberg,,,False,False,
300,Electronic Dictionary of the Irish Language (eDIL). url: http://edil.qub.ac.uk/dictionary/search.php.,http://edil.qub.ac.uk/dictionary/search.php,,,,,,,,,,Electronic Dictionary of the Irish Language (eDIL),online,http://edil.qub.ac.uk/dictionary/search.php,,,Electronic Dictionary of the Irish Language (eDIL),,,,,,U,,,,,,,,,False,False,
301,"Fleuriot, Léon (1964a). Dictionnaire des gloses en vieux breton. Collection linguistique publiée par la Société de Linguistique de Paris 62. Paris: Klincksiek.",,,,,,,,62,,,Dictionnaire des gloses en vieux breton,book,,,1964,Fleuriot 1964a,"Fleuriot, Léon",,,Klincksiek,Collection linguistique publiée par la Société de Linguistique de Paris,P,,,,,,Paris,,,False,False,
302,"Aura Jorro, Francisco (1985). Diccionario Micénico. Vol. I. Diccionario Griego-Español I. covers words beginning with syllabograms <a> to <nu>. Madrid: Consejo Superior de Investigaciones Científicas.",Covers words beginning with syllabograms <a> to <nu>,,,,,,covers words beginning with syllabograms  to,I,,,Diccionario Micénico,book,,I,1985,Aura Jorro 1985,"Aura Jorro, Francisco",,,Consejo Superior de Investigaciones Científicas,Diccionario Griego-Español,,,,,,,Madrid,,,False,False,
303,"Aura Jorro, Francisco (1993). Diccionario Micénico. Vol. II. Diccionario Griego-Español II. covers words beginning with syllabograms <o> to <*69>. Madrid: Consejo Superior de Investigaciones Científicas.",Covers words beginning with syllabograms <o> to <*69>,,,,,,covers words beginning with syllabograms  to <*69>,II,,,Diccionario Micénico,book,,II,1993,Aura Jorro 1993,"Aura Jorro, Francisco",,,Consejo Superior de Investigaciones Científicas,Diccionario Griego-Español,,,,,,,Madrid,,,False,False,
304,"Schumacher, Stefan (2004). Die keltischen Primärverben. Ein vergleichendes, etymologisches und morphologisches Lexikon. In collab. with Britta Schulze-Thulin & Caroline aan de Wiel. Innsbrucker Beiträge zur Sprachwissenschaft 110. Innsbruck: Inst. für Sprachen und Literaturen der Univ., Abt. Sprachwiss.",,,,,,,,110,,,Die keltischen Primärverben,book,,,2004,Schumacher 2004,"Schumacher, Stefan","Britta Schulze-Thulin and aan de Wiel, Caroline",,"Inst. für Sprachen und Literaturen der Univ., Abt. Sprachwiss.",Innsbrucker Beiträge zur Sprachwissenschaft,P,,,collaborator,,,Innsbruck,,,False,False,
305,"Schrijver, Peter (1995). Studies in British Celtic historical phonology. Leiden studies in Indo-European 5. Amsterdam: Rodopi.",,,,,,,,5,,,Studies in British Celtic historical phonology,book,,,1995,Schrijver 1995,"Schrijver, Peter",,,Rodopi,Leiden studies in Indo-European,P,,,,,,Amsterdam,,,False,False,
307,"Pedersen, Holger (1909). Vergleichende Grammatik der keltischen Sprachen. Vol. 1: Einleitung und Lautlehre. Göttinger Sammlung indogermanischer Grammatiken. Göttingen: Vandenhoeck u. Ruprecht.",,,,,,,,,,,Vergleichende Grammatik der keltischen Sprachen,book,,1: Einleitung und Lautlehre,1909,Pedersen 1909,"Pedersen, Holger",,,Vandenhoeck u. Ruprecht,Göttinger Sammlung indogermanischer Grammatiken,P,,,,,,Göttingen,,1. Band: Einleitung und Lautlehre,False,False,
308,"Pedersen, Holger (1913). Vergleichende Grammatik der keltischen Sprachen. Vol. 2: Bedeutungslehre (Wortlehre). Göttinger Sammlung indogermanischer Grammatiken. Göttingen: Vandenhoeck u. Ruprecht.",,,,,,,,,,,Vergleichende Grammatik der keltischen Sprachen,book,,2: Bedeutungslehre (Wortlehre),1913,Pedersen 1913,"Pedersen, Holger",,,Vandenhoeck u. Ruprecht,Göttinger Sammlung indogermanischer Grammatiken,P,,,,,,Göttingen,,2. Band: Bedeutungslehre (Wortlehre),False,False,
309,"Deshayes, Albert (2003). Dictionnaire étymologique du breton. Douarnenez: chasse-marée.",,,,,,,,,,,Dictionnaire étymologique du breton,book,,,2003,Deshayes 2003,"Deshayes, Albert",,,chasse-marée,,P,,,,,,Douarnenez,,,False,False,
310,"Evans, D. Simon (1964). A Grammar of Middle Welsh. Dublin: Dublin Institute for Advanced Studies.",,,,,,,,,,,A Grammar of Middle Welsh,book,,,1964,Evans 1964,"Evans, D. Simon",,,Dublin Institute for Advanced Studies,,P,,,,,,Dublin,,,False,False,
311,Digitalen rečnik na makedonskiot ǰazik. url: http://makedonski.info/.,Monolingual Macedonian dictionary (with translations to English),,,,,,Monolingual Macedonian dictionary (with translations to English),,,,Digitalen rečnik na makedonskiot ǰazik,online,http://makedonski.info/,,,DRMJ,,,,,,U,,,,,,,,,False,False,
313,"Murgoski, Zoze (2005). Rečnik na makedonskiot ǰazik. Skopje: Filološki Fakultet Blaže Koneski.",Monolingual Macedonian dictionary,,,,,,Monolingual Macedonian dictionary,,,,Rečnik na makedonskiot ǰazik,book,,,2005,Murgoski 2005,"Murgoski, Zoze",,,Filološki Fakultet Blaže Koneski,,P,,,,,,Skopje,,,False,False,
314,"Haarmann, Harald (1973). Der lateinische Lehnwortschatz im Bretonischen. Hamburger philologische Studien 32. Hamburg: Buske.",,,,,,,,32,,,Der lateinische Lehnwortschatz im Bretonischen,book,,,1973,Haarmann 1973,"Haarmann, Harald",,,Buske,Hamburger philologische Studien,P,,,,,,Hamburg,,,False,False,
